Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     
0                        0.001761857337421841     100                      5.855073172761609        1000.0                   10                       0.0                      0.0                      0                        6.024260520935059        
10                       0.0037910016377766926    1100                     217.87609650022858       1000.0                   10                       77.18894958496094        1000.0                   1                        -3.000101327896118       
20                       0.005970063209533691     2100                     192.13477264141656       1000.0                   10                       172.66368103027344       1000.0                   1                        -3.510850667953491       
30                       0.00830808401107788      3100                     227.89694009305467       1000.0                   10                       32.14081573486328        1000.0                   1                        -3.8759095668792725      
40                       0.010782139897346497     4100                     419.01736438250407       1000.0                   10                       506.6041564941406        1000.0                   1                        -3.809917688369751       
50                       0.013409462571144105     5100                     354.560898016712         1000.0                   10                       97.33321380615234        1000.0                   1                        -3.940549612045288       
60                       0.016184352901246812     6100                     592.4570356368116        1000.0                   10                       535.5929565429688        1000.0                   1                        -3.9414498805999756      
70                       0.0191114604473114       7100                     564.9024349513787        1000.0                   10                       612.1210327148438        1000.0                   1                        -3.967299222946167       
80                       0.022196979191568163     8100                     412.76012980898685       1000.0                   10                       609.597900390625         1000.0                   1                        -3.983323335647583       
90                       0.025442786945237054     9100                     602.1589083635823        1000.0                   10                       629.3729248046875        1000.0                   1                        -3.99825119972229        
100                      0.02882612778080834      10100                    563.451086636521         1000.0                   10                       613.5706787109375        1000.0                   1                        -4.009844779968262       
110                      0.03236287732919057      11100                    537.4336304716146        1000.0                   10                       615.3362426757812        1000.0                   1                        -4.015811920166016       
120                      0.036068646179305185     12100                    612.6580148474313        1000.0                   10                       634.0751953125           1000.0                   1                        -4.024680137634277       
130                      0.03990521563424004      13100                    612.9372581234202        1000.0                   10                       616.1541137695312        1000.0                   1                        -4.0311360359191895      
140                      0.04389786945448981      14100                    586.9750834887018        1000.0                   10                       613.3505249023438        1000.0                   1                        -4.033419609069824       
150                      0.04804426782661014      15100                    616.5004045713692        1000.0                   10                       20.825420379638672       1000.0                   1                        -4.041240215301514       
160                      0.052339968416425915     16100                    605.897600648459         1000.0                   10                       29.89851188659668        1000.0                   1                        -4.032768249511719       
170                      0.056805928879314        17100                    558.3154393457123        1000.0                   10                       621.8875732421875        1000.0                   1                        -4.039627552032471       
180                      0.06140980687406328      18100                    602.7554168141447        1000.0                   10                       579.206787109375         1000.0                   1                        -4.040811061859131       
190                      0.06616998023456998      19100                    618.5612251931801        1000.0                   10                       616.9603271484375        1000.0                   1                        -4.043676376342773       
