Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     
0                        0.0008836266067292955    100                      10.456168817927047       400.0                    10                       0.0                      0.0                      0                        10.771257400512695       
10                       0.0020797622866100735    1100                     18.198217388967834       400.0                    10                       11.482118606567383       400.0                    2                        -3.4838016033172607      
20                       0.0034341490268707275    2100                     16.10821049939241        400.0                    10                       21.97439193725586        400.0                    2                        -3.5918638706207275      
30                       0.004941427244080437     3100                     14.09066635129661        400.0                    10                       14.81745719909668        400.0                    2                        -3.7327263355255127      
40                       0.006590312520662943     4100                     22.369247352136085       400.0                    10                       15.01942253112793        400.0                    2                        -3.736238479614258       
50                       0.008391460378964741     5100                     38.53777989167099        400.0                    10                       30.568954467773438       400.0                    2                        -3.584770679473877       
60                       0.010329048964712356     6100                     69.6609676746425         400.0                    10                       47.69287109375           400.0                    2                        -3.585198402404785       
70                       0.012420498066478306     7100                     94.55394626074411        400.0                    10                       59.71913146972656        400.0                    2                        -3.568009376525879       
80                       0.014663172165552775     8100                     119.79579471630548       400.0                    10                       77.57569885253906        400.0                    2                        -3.4813027381896973      
90                       0.017080665429433185     9100                     154.39938457014642       400.0                    10                       99.46913146972656        400.0                    2                        -3.488166093826294       
100                      0.01964644796318478      10100                    213.40887316246486       400.0                    10                       138.07373046875          400.0                    2                        -3.5228588581085205      
110                      0.022343980338838366     11100                    243.0439583301039        400.0                    10                       242.04736328125          400.0                    2                        -3.5055041313171387      
120                      0.025197016596794127     12100                    198.73023979230732       400.0                    10                       77.00568389892578        400.0                    2                        -3.539612054824829       
130                      0.028196499877505832     13100                    212.38460325524957       400.0                    10                       240.23309326171875       400.0                    2                        -3.528813600540161       
140                      0.03135305901368459      14100                    210.48187333349975       400.0                    10                       191.88914489746094       400.0                    2                        -3.5226328372955322      
150                      0.03466509163379669      15100                    232.09427126077736       400.0                    10                       255.01849365234375       400.0                    2                        -3.5382211208343506      
160                      0.038128232691023084     16100                    217.51291264698335       400.0                    10                       257.5332336425781        400.0                    2                        -3.5552544593811035      
170                      0.041748253305753075     17100                    216.48695450953701       400.0                    10                       111.06654357910156       400.0                    2                        -3.5755627155303955      
180                      0.04551550659868452      18100                    228.45543163313428       400.0                    10                       257.1935119628906        400.0                    2                        -3.5794036388397217      
190                      0.049447137316068014     19100                    239.7995380096861        400.0                    10                       134.21878051757812       400.0                    2                        -3.598048686981201       
